Rating,Affordable,Mid-Range,Premium,Luxury,Total (by Rank),In Percent
Selected,0.0326485109093805,0.258215214736954,0.251313903487817,0.0673143281838934,0.609491957318045,61%
Bib Gourmand,0.0508573552051813,0.134097786271699,0.00286669851887243,0.0000530870096087487,0.187874927005361,19%
One Star,0.000159261028826246,0.00461856983596114,0.0573339703774486,0.103891277804321,0.166003079046557,16%
Two Stars,0,0.000106174019217497,0.00180495832669746,0.0264373307851569,0.0283484631310719,3%
Three Stars,0,0,0.000265435048043744,0.00801613845092106,0.0082815734989648,1%
Total (by Price),0.083665127143388,0.397037744863832,0.313584965758879,0.205712162233901,1,100%
In Percent,8%,40%,31%,21%,100%,
